,Filter:,is:issue is:closed created:2023-01-01..2024-03-27 label:type:bug linked:pr,Total Reproduced:,17,,,,,,,,,,,
Issue #,PR #,Title,Reproduced,Issue Status,Device,API,Reported,Buggy Version,Nightly,Buggy File(s),Buggy Function(s),Type,Remarks,Issue Link,PR Link
62072,62112,tf.math.is_non_decreasing outputs incorrect result when input is an uint tensor,Yes,Closed,CPU,,10/09/2038,2.14.0,No,tensorflow/python/ops/check_ops.py,_get_results_for_monotonic_comparison(),Incorrect output,,https://github.com/tensorflow/tensorflow/issues/62072,https://github.com/tensorflow/tensorflow/pull/62112
61974,61981,AttributeError: module 'tensorflow.python.distribute.input_lib' has no attribute 'DistributedDatasetInterface',Yes,Closed,CPU,,09/25/2023,2.13.0,No,tensorflow/python/keras/engine/data_adapter.py,_is_distributed_dataset(),Internal exception,Reproduced: bug originates from reference to legacy code,https://github.com/tensorflow/tensorflow/issues/61974,https://github.com/tensorflow/tensorflow/pull/61981
61872,,Fails to build on AARCH64,No,Closed,,,,,,,,,Skipped: related to building,https://github.com/tensorflow/tensorflow/issues/61872,
61761,62619,No quantized type support for Enter/Exit Op,Yes,Closed,CPU,,08/31/2023,2.14.0rc0,No,tensorflow/core/kernels/control_flow_ops.cc,"SwitchOp::Compute(),SwitchNOp::Compute()",Type error,,https://github.com/tensorflow/tensorflow/issues/61761,https://github.com/tensorflow/tensorflow/pull/62619
61677,,Unit test failure when built with clang,No,Closed,,,,,,,,,Skipped: bug originates from unit test failures,https://github.com/tensorflow/tensorflow/issues/61677,
61668,,TF Quantizer breaks pip package,No,Closed,,,,,,,,,Skipped: related to building,https://github.com/tensorflow/tensorflow/issues/61668,
61598,,AttributeError: module 'tensorflow.python.pywrap_mlir' has no attribute 'experimental_convert_saved_model_v1',No,Closed,,,,,,,,,Skipped: could not find code to reproduce bug,https://github.com/tensorflow/tensorflow/issues/61598,
61584,,Build failure on AARCH64 - undeclared identifier 'memset',No,Closed,,,,,,,,,Skipped: related to building,https://github.com/tensorflow/tensorflow/issues/61584,
61163,61276,assert_shapes does not return anything and cannot be used as control dependency,Yes,Closed,CPU,,07/03/2023,2.13.0,No,tensorflow/python/ops/check_ops.py,assert_shapes_v2(),Type error,,https://github.com/tensorflow/tensorflow/issues/61163,https://github.com/tensorflow/tensorflow/pull/61276
61116,,//tensorflow/python/data/kernel_tests:snapshot_test is flaky,No,Closed,,,,,,,,,Skipped: related to flaky test,https://github.com/tensorflow/tensorflow/issues/61116,
61068,,XLA unit tests fail to build on gcc,No,Closed,,,,,,,,,Skipped: related to building tests,https://github.com/tensorflow/tensorflow/issues/61068,
60932,18248,get_file raises exception if the content-length is unknown,Yes,Closed,CPU,,06/20/2023,2.11.0,No,keras/utils/data_utils.py,__call__(),Type error,,https://github.com/tensorflow/tensorflow/issues/60932,https://github.com/tensorflow/tensorflow/pull/18248
60836,,Image Segmenter | tflite-suuport | AttributeError: type object 'SegmentationOptions' has no attribute 'OutputType',No,Closed,,,,,,,,,Skipped: typo in instructions,https://github.com/tensorflow/tensorflow/issues/60836,
60827,61079,wrong output shape with tf.experimental.numpy.vander when parameter N=0,Yes,Closed,CPU,,06/09/2023,2.13.0,No,tensorflow/python/ops/numpy_ops/np_array_ops.py,vander(),Incorrect output,,https://github.com/tensorflow/tensorflow/issues/60827,https://github.com/tensorflow/tensorflow/pull/61079
60724,,mkl_aarch64_threadpool build broken by recent commit,No,Closed,,,,,,,,,Skipped: related to building,https://github.com/tensorflow/tensorflow/issues/60724,
60506,,Memory Leak in mkl_graph_util.h,No,Closed,,,,,,,,,Skipped: related to memory leak in c code,https://github.com/tensorflow/tensorflow/issues/60506,
60457,,error message of tf.eye is inconsistent with doc,No,Closed,,,,,,,,,Skipped: changes in doc,https://github.com/tensorflow/tensorflow/issues/60457,
60397,,"segment_reduction_ops_gpu.cu.h error: no instance of overloaded function ""tensorflow::min""/""tensorflow::max"" matches the argument list",No,Closed,,,,,,,,,Skipped: related to building,https://github.com/tensorflow/tensorflow/issues/60397,
60223,,Null pointer dereference in lmhlo_to_cpu_runtime.cc,No,Closed,,,,,,,,,Skipped: found by static analysis,https://github.com/tensorflow/tensorflow/issues/60223,
60220,,Null pointer dereference in conv_ops_fused_int8.cc,No,Closed,,,,,,,,,Skipped: found by static analysis,https://github.com/tensorflow/tensorflow/issues/60220,
60183,,Please update/fix the tutorial of how to automatically add cuda/dnn path into environment when activate conda environment,No,Closed,,,,,,,,,Skipped: changes in doc,https://github.com/tensorflow/tensorflow/issues/60183,
60114,,LSTMBlockCell validation error,No,Closed,,,,,,,,,Skipped: found from source code,https://github.com/tensorflow/tensorflow/issues/60114,
59927,,A crash due to check-fail can be triggered in QuantizedConv2D,No,Closed,,,,,,,,,Could not reproduce: the nightly build isn't available,https://github.com/tensorflow/tensorflow/issues/59927,
59680,,Unit test //tensorflow/tsl/framework/convolution:spatial_convolutions_test fails to build,No,Closed,,,,,,,,,Skipped: related to building,https://github.com/tensorflow/tensorflow/issues/59680,
59643,,protobuf 4 causes segmentation fault on Python 3.8 in unit test,No,Closed,,,,,,,,,Skipped: related to building,https://github.com/tensorflow/tensorflow/issues/59643,
59123,59661,Check failure when running tensorflow.python.ops.gen_data_flow_ops.record_input,Yes,Closed,CPU,,01/05/2023,2.13.0,No,tensorflow/core/kernels/record_input_op.cc,RecordInputOp(),Crash,"Needs to anticipate crash, not exception (#56)",https://github.com/tensorflow/tensorflow/issues/59123,https://github.com/tensorflow/tensorflow/pull/59661
59115,,TFDefaultLogSink::Send() uses buffered writes leading to delays writing to log file,No,Closed,,,,,,,,,Skipped: related to logging,https://github.com/tensorflow/tensorflow/issues/59115,
59114,59658,Segmentation fault when running gen_ragged_array_ops.ragged_cross,Yes,Closed,CPU,,01/05/2023,2.13.0,No,tensorflow/core/kernels/ragged_cross_op.cc,BuildOutputTensors(),Crash,"Needs to anticipate crash, not exception (#56)",https://github.com/tensorflow/tensorflow/issues/59114,https://github.com/tensorflow/tensorflow/pull/59658
59084,59660,Check failure when running tensorflow.python.ops.gen_ragged_conversion_ops.ragged_tensor_to_variant,Yes,Closed,CPU,,01/04/2023,2.11.0,No,tensorflow/core/kernels/ragged_tensor_to_variant_op.cc,UnbatchRaggedZerothDim(),Crash,"PR is closed due to inactivity at the time of writing, but the bug is fixed in the latest build (tensorflow==2.16.1)",https://github.com/tensorflow/tensorflow/issues/59084,https://github.com/tensorflow/tensorflow/pull/59660
59076,,Issue created for Rollback of PR #58358: Fix unigram assert,No,Closed,,,,,,,,,Skipped: rollback of a PR,https://github.com/tensorflow/tensorflow/issues/59076,
65865,67468,Overflow in tf.raw_ops.SparseReduceMaxSparse when there are too large values in input_shape.,Yes,Closed,CPU,,04/17/2024,2.15.0,No,Force Pushed,Force Pushed,Crash,,https://github.com/tensorflow/tensorflow/issues/65865,https://github.com/tensorflow/tensorflow/pull/67468
